feature_name,value_function_type,proposal,parameters_and_caveats
population_density_calibrated_km2,NON_MONOTONIC / target-range (candidate),"Percentile-based scenario: increasing benefit up to ~p75-p85 citywide, then flat or mildly declining beyond ~p90-p95 to reflect saturation/operational-constraint concerns.","No defensible physical density threshold identified; percentile breakpoints are a transparent placeholder, not a claimed empirical saturation point -- to be set as a scenario parameter, not fixed here."
poi_density_km2,Saturation / diminishing returns,"Monotonic increasing, concave (e.g. sqrt or log1p of the percentile rank) so the top few extreme-activity cells do not dominate the value function the way raw density would.",Diminishing returns rationale: marginal suitability gain from 'very high' to 'extremely high' activity is plausibly smaller than from 'low' to 'moderate'.
poi_entropy,Monotonic increasing,Linear percentile-rank benefit.,"Bounded metric (bits); already well-behaved, no transform needed beyond percentile-ranking."
retail_count,Saturation / diminishing returns,Same concave treatment as poi_density_km2.,"Sparse, zero-inflated -- percentile rank computed with zero as a genuine floor, not imputed."
leisure_count,Saturation / diminishing returns,Same concave treatment as poi_density_km2.,Same sparsity handling as retail_count.
has_buildings,Threshold (step),0 -> minimum value; 1 -> full eligibility to be scored on building_coverage_ratio_conditional.,Binary by construction; not a continuous value function.
building_coverage_ratio_conditional,Target-range / inverted-U (candidate),"Benefit rising through low-to-moderate coverage, plateauing or mildly declining at extreme coverage (candidate breakpoint: citywide p85-p90 among built cells).","No defensible physical breakpoint (e.g. a specific street-width or curb-space threshold) identified from available data -- percentile-based, to be set as a scenario parameter."
distance_to_nearest_metro_m,Inverted-U / target-range (unresolved),"Candidate shape: low suitability when extremely close (substitution risk) and when very far (no integration benefit), higher suitability at a moderate 'sweet spot' distance.","No defensible distance thresholds for the substitution vs. integration crossover are established in the literature reviewed for this project; this is flagged as an UNRESOLVED methodological choice requiring a decision (e.g. a specific scenario assumption) before scoring, not silently defaulted to monotonic."
distance_to_nearest_tram_m,Inverted-U / target-range (unresolved),"Candidate shape: low suitability when extremely close (substitution risk) and when very far (no integration benefit), higher suitability at a moderate 'sweet spot' distance.","No defensible distance thresholds for the substitution vs. integration crossover are established in the literature reviewed for this project; this is flagged as an UNRESOLVED methodological choice requiring a decision (e.g. a specific scenario assumption) before scoring, not silently defaulted to monotonic."
distance_to_nearest_rail_m,Inverted-U / target-range (unresolved),"Candidate shape: low suitability when extremely close (substitution risk) and when very far (no integration benefit), higher suitability at a moderate 'sweet spot' distance.","No defensible distance thresholds for the substitution vs. integration crossover are established in the literature reviewed for this project; this is flagged as an UNRESOLVED methodological choice requiring a decision (e.g. a specific scenario assumption) before scoring, not silently defaulted to monotonic."
distance_to_nearest_ferry_m,Inverted-U / target-range (unresolved),"Candidate shape: low suitability when extremely close (substitution risk) and when very far (no integration benefit), higher suitability at a moderate 'sweet spot' distance.","No defensible distance thresholds for the substitution vs. integration crossover are established in the literature reviewed for this project; this is flagged as an UNRESOLVED methodological choice requiring a decision (e.g. a specific scenario assumption) before scoring, not silently defaulted to monotonic."
distance_to_nearest_metrobus_m,Inverted-U / target-range (unresolved),"Candidate shape: low suitability when extremely close (substitution risk) and when very far (no integration benefit), higher suitability at a moderate 'sweet spot' distance.","No defensible distance thresholds for the substitution vs. integration crossover are established in the literature reviewed for this project; this is flagged as an UNRESOLVED methodological choice requiring a decision (e.g. a specific scenario assumption) before scoring, not silently defaulted to monotonic."
distance_to_nearest_transit_m,Inverted-U / target-range (unresolved),"Candidate shape: low suitability when extremely close (substitution risk) and when very far (no integration benefit), higher suitability at a moderate 'sweet spot' distance.","No defensible distance thresholds for the substitution vs. integration crossover are established in the literature reviewed for this project; this is flagged as an UNRESOLVED methodological choice requiring a decision (e.g. a specific scenario assumption) before scoring, not silently defaulted to monotonic."
transit_stops_within_500m,Inverted-U / target-range (unresolved),"Same substitution-vs-integration ambiguity as distance measures, expressed as a count/intensity rather than a distance.",Same unresolved-threshold caveat.
fixed_guideway_stations_within_1000m,Inverted-U / target-range (unresolved),"Same substitution-vs-integration ambiguity as distance measures, expressed as a count/intensity rather than a distance.",Same unresolved-threshold caveat.
bus_departures_per_day,Inverted-U / target-range (unresolved),"Same substitution-vs-integration ambiguity as distance measures, expressed as a count/intensity rather than a distance.",Same unresolved-threshold caveat.
cycle_infrastructure_density_km_per_km2_ibb_only,Dual-direction (readiness vs. need) -- not resolved to one function here,"Under READINESS: monotonic increasing (more existing infrastructure = safer, more ready). Under NEED/OPPORTUNITY: monotonic DECREASING conditional on high demand (low infrastructure + high demand = latent opportunity), mirroring the pilot's frozen Latent Opportunity Gap concept.",Direction depends entirely on which of the two indices (readiness or need) this feeds -- see readiness_need_architecture.json. Not combined into one number in this phase.
protected_cycleway_density_km_per_km2_ibb_only,Dual-direction (readiness vs. need) -- not resolved to one function here,"Under READINESS: monotonic increasing (more existing infrastructure = safer, more ready). Under NEED/OPPORTUNITY: monotonic DECREASING conditional on high demand (low infrastructure + high demand = latent opportunity), mirroring the pilot's frozen Latent Opportunity Gap concept.",Direction depends entirely on which of the two indices (readiness or need) this feeds -- see readiness_need_architecture.json. Not combined into one number in this phase.
distance_to_nearest_cycle_infrastructure_m_ibb_only,Dual-direction (readiness vs. need) -- not resolved to one function here,"Under READINESS: monotonic decreasing (closer = more ready). Under NEED/OPPORTUNITY: farther, conditional on high demand, indicates a service gap.",Same dual-direction caveat as the density measures above.
distance_to_nearest_bicycle_parking_m,Dual-direction (readiness vs. need) -- not resolved to one function here,"Under READINESS: monotonic decreasing (closer = more ready). Under NEED/OPPORTUNITY: farther, conditional on high demand, indicates a service gap.",Same dual-direction caveat as the density measures above.
distance_to_nearest_micromobility_parking_m,Dual-direction (readiness vs. need) -- not resolved to one function here,"Under READINESS: monotonic decreasing (closer = more ready). Under NEED/OPPORTUNITY: farther, conditional on high demand, indicates a service gap.",Same dual-direction caveat as the density measures above.
mean_slope_deg,Piecewise / threshold (reuses frozen pilot thresholds),"Comfortable (full value) below 3.0 deg, linearly or convexly declining toward a floor of 0.5 by 10.0 deg, floor held beyond.",Reuses src.analysis.suitability_config's frozen e-bike-specific slope treatment exactly -- no new threshold invented.
pct_area_slope_3_6deg,Piecewise (supporting mean_slope_deg),Used as a secondary/tie-breaking signal alongside mean_slope_deg rather than an independent value function -- e.g. penalizing a cell whose mean is mild but whose steep-area share is high.,Exact combination rule (e.g. weighted penalty) deferred to scoring phase.
pct_area_slope_6_10deg,Piecewise (supporting mean_slope_deg),Used as a secondary/tie-breaking signal alongside mean_slope_deg rather than an independent value function -- e.g. penalizing a cell whose mean is mild but whose steep-area share is high.,Exact combination rule (e.g. weighted penalty) deferred to scoring phase.
