feature_name,dimension,mcda_disposition,direction,rationale,represented_by_if_excluded
population_density_calibrated_km2,Demand/Activity Potential,RETAIN,CONTEXT_DEPENDENT,"Higher residential density plausibly supports trip demand, but extremely dense environments can face saturation, pedestrian conflict, and street-space/parking constraints for shared vehicles -- not assumed monotonic per explicit instruction.",
poi_density_km2,Demand/Activity Potential,RETAIN,BENEFIT,"General activity intensity is a defensible demand proxy; diminishing returns expected at extreme density (see value function), but not reversed the way population density might be.",
poi_entropy,Demand/Activity Potential,RETAIN,BENEFIT,"Land-use/activity-type diversity (mixed-use character) plausibly supports varied trip purposes throughout the day, distinct from raw activity volume.",
retail_count,Demand/Activity Potential,RETAIN,BENEFIT,Retail destinations are classic short-trip generators well-suited to micromobility.,
leisure_count,Demand/Activity Potential,RETAIN,BENEFIT,Leisure/recreational destinations represent a distinct trip purpose from retail/commercial.,
hospital_count,Demand/Activity Potential,EXCLUDE_REDUNDANT,N/A,"Individual POI sub-category; its contribution to overall activity intensity is already captured by poi_density_km2, and food/retail/leisure-specific demand nuance would require a dedicated sub-index this phase does not construct. Kept out of the compact criterion set to avoid over-weighting POI-derived signal relative to other dimensions.",poi_density_km2 (general); retail_count/leisure_count (specific facets retained)
university_count,Demand/Activity Potential,EXCLUDE_REDUNDANT,N/A,"Individual POI sub-category; its contribution to overall activity intensity is already captured by poi_density_km2, and food/retail/leisure-specific demand nuance would require a dedicated sub-index this phase does not construct. Kept out of the compact criterion set to avoid over-weighting POI-derived signal relative to other dimensions.",poi_density_km2 (general); retail_count/leisure_count (specific facets retained)
school_count,Demand/Activity Potential,EXCLUDE_REDUNDANT,N/A,"Individual POI sub-category; its contribution to overall activity intensity is already captured by poi_density_km2, and food/retail/leisure-specific demand nuance would require a dedicated sub-index this phase does not construct. Kept out of the compact criterion set to avoid over-weighting POI-derived signal relative to other dimensions.",poi_density_km2 (general); retail_count/leisure_count (specific facets retained)
healthcare_count,Demand/Activity Potential,EXCLUDE_REDUNDANT,N/A,"Individual POI sub-category; its contribution to overall activity intensity is already captured by poi_density_km2, and food/retail/leisure-specific demand nuance would require a dedicated sub-index this phase does not construct. Kept out of the compact criterion set to avoid over-weighting POI-derived signal relative to other dimensions.",poi_density_km2 (general); retail_count/leisure_count (specific facets retained)
cafe_count,Demand/Activity Potential,EXCLUDE_REDUNDANT,N/A,"Individual POI sub-category; its contribution to overall activity intensity is already captured by poi_density_km2, and food/retail/leisure-specific demand nuance would require a dedicated sub-index this phase does not construct. Kept out of the compact criterion set to avoid over-weighting POI-derived signal relative to other dimensions.",poi_density_km2 (general); retail_count/leisure_count (specific facets retained)
restaurant_count,Demand/Activity Potential,EXCLUDE_REDUNDANT,N/A,"Individual POI sub-category; its contribution to overall activity intensity is already captured by poi_density_km2, and food/retail/leisure-specific demand nuance would require a dedicated sub-index this phase does not construct. Kept out of the compact criterion set to avoid over-weighting POI-derived signal relative to other dimensions.",poi_density_km2 (general); retail_count/leisure_count (specific facets retained)
bar_pub_count,Demand/Activity Potential,EXCLUDE_REDUNDANT,N/A,"Individual POI sub-category; its contribution to overall activity intensity is already captured by poi_density_km2, and food/retail/leisure-specific demand nuance would require a dedicated sub-index this phase does not construct. Kept out of the compact criterion set to avoid over-weighting POI-derived signal relative to other dimensions.",poi_density_km2 (general); retail_count/leisure_count (specific facets retained)
supermarket_count,Demand/Activity Potential,EXCLUDE_REDUNDANT,N/A,"Individual POI sub-category; its contribution to overall activity intensity is already captured by poi_density_km2, and food/retail/leisure-specific demand nuance would require a dedicated sub-index this phase does not construct. Kept out of the compact criterion set to avoid over-weighting POI-derived signal relative to other dimensions.",poi_density_km2 (general); retail_count/leisure_count (specific facets retained)
office_count,Demand/Activity Potential,EXCLUDE_REDUNDANT,N/A,"Individual POI sub-category; its contribution to overall activity intensity is already captured by poi_density_km2, and food/retail/leisure-specific demand nuance would require a dedicated sub-index this phase does not construct. Kept out of the compact criterion set to avoid over-weighting POI-derived signal relative to other dimensions.",poi_density_km2 (general); retail_count/leisure_count (specific facets retained)
