layer,data_source,snapshot_year,spatial_resolution,processing_method,known_limitations,appropriate_interpretation
Population,"WorldPop gridded population, calibrated to official TUIK 2020 district totals (Phase 3C calibration)",2020,"~100m native, aggregated to 500m study grid",Dasymetric calibration of WorldPop raster to official 2020 district population counts.,2020 snapshot vs 2026 network/destination/GTFS data -- explicit temporal mismatch carried through every application.,"Accessibility of the CALIBRATED 2020 population's spatial distribution to the CURRENT network/destination snapshot, never a 2026 population estimate."
Terrain,Copernicus DEM GLO-30,~2019-2021 (Copernicus GLO-30 baseline),30m,Slope/elevation/road-grade features computed via Phase 4/7A road-grade sampling.,"Vertical accuracy varies by terrain type; road-grade sampling only, not a full hydrological/geomorphological analysis.","Used for descriptive terrain/road-grade features only, never as a cycling-speed adjustment in the frozen baseline speed model."
Roads / Buildings / Land Use / POIs,OpenStreetMap via Geofabrik (turkey-latest.osm.pbf),Snapshot recorded 2026-09-18 (see network_intelligence_manifest.json pbf_snapshot),"Vector, native OSM digitization resolution",osmium extraction (Phase 7A) + pyrosm/osmnx graph construction (Phase 7) + GDAL/pyogrio feature extraction (Phase 3-4).,Citizen-mapped data: completeness varies by district (documented per-feature in feature_dictionary_citywide_v2.csv); a critical pyrosm to_graph() node-loss bug was found and fixed during Phase 7 (see network_intelligence_manifest.json).,"Best-available open mapping data, not a surveyed inventory; treat sparse-district results as data-limited, not necessarily infrastructure-absent."
Cycling Infrastructure,İBB (Istanbul Metropolitan Municipality) official cycling-infrastructure datasets,İBB open-data retrieval date (see feature_dictionary_citywide_v2.csv 'ibb_only' columns),Vector,"Direct İBB dataset ingestion, kept SEPARATE from OSM-inferred cycling ways.",İBB-only source may undercount informally-used or newly-built cycling routes not yet in the official dataset.,"Official infrastructure presence indicator, not a comfort/safety/usage measure."
Public Transit (Metro/Tram/Rail/Ferry),"main_gtfs, 'Toplu Ulaşım GTFS Verisi' (İBB Açık Veri Portalı)",Resource files dated 2023-2024; feed explicitly states it will not be updated,Point (stops) + route topology,GTFS parsing (src/features/transit_infrastructure.py); used for STATION LOCATIONS AND ROUTE TOPOLOGY ONLY.,Calendar/service dates have ALL expired as of the 2026 retrieval date -- NEVER used for departure frequency or timetable claims.,Infrastructure/topology source only; do not infer service frequency or current operational status from this feed.
Public Transit (Bus/Metrobüs),"iett_gtfs, 'İETT GTFS Verisi' (İBB Açık Veri Portalı)",Resources dated 2026-03-17; calendar valid 2026-03-16 to 2026-12-31,Point (stops) + route topology + schedule,GTFS parsing; used for both infrastructure AND departure-frequency features.,"Zero mapped stops in Silivri and Çatalca (re-confirmed Phase 10); several districts show implausibly sparse coverage (Bahçelievler, Gaziosmanpaşa, Kâğıthane, Sultangazi).","Current and reliable where coverage exists; NO_FEED_COVERAGE areas require explicit DATA INSUFFICIENT treatment, never read as NO_TRANSIT_SERVICE."
Walking Network,Derived from the same OSM/Geofabrik PBF via pyrosm+osmnx (Phase 7),Same as OSM snapshot above,"Vector graph, EPSG:32635","Undirected graph, transparent tag-based inclusion/exclusion rules (network_rules.py), constant 5.0km/h baseline speed.","oneway:foot too sparse to support directed pedestrian routing (documented, not silently assumed handled).","Modeled network accessibility at a constant baseline speed, not observed walking behavior or real-time conditions."
Cycling Network,Derived from the same OSM/Geofabrik PBF via pyrosm+osmnx (Phase 7),Same as OSM snapshot above,"Vector graph, EPSG:32635","Directed graph respecting generic oneway tag, constant 15.0km/h baseline speed.",oneway:bicycle contraflow exceptions present in source data but NOT applied to override directionality (documented baseline limitation).,"Modeled POTENTIAL cycling accessibility at a constant baseline speed -- no terrain adjustment, no comfort/stress modeling, not validated mode choice."
Everyday-Needs POI Taxonomy,OSM POI tags (raw amenity/shop/leisure values) + the two GTFS feeds for the transit category,Same as OSM/GTFS snapshots above,Point,"8-category taxonomy (A-H) built from explicit, documented raw tag rules (Phase 8); Food/Healthcare/Education are the 3 REQUIRED categories.","Green/Recreation category is POI-only (excludes land-use polygons) and likely undercounts true green-space access; Daily Services is a new, moderate-reliability grouping.","REQUIRED categories (Food, Healthcare, Education) selected for BOTH conceptual necessity AND source reliability -- not forced to inflate any metric."
Urban Typology (V2 Eight-Family),"94-predictor V2 feature baseline (CITYWIDE_V2_EIGHT_FAMILY_FEATURE_BASELINE), clustered via KMeans k=5",Composite of all above snapshots,500m grid cell,"Dimension-first aggregation + parsimonious criteria screening + KMeans k=5 (Phase 5A/5B-V2, evidence-based k selection).","Descriptive typology, not a causal urban-planning classification; cluster numbering (0-4) carries no inherent order.",Use only as a post-hoc descriptive lens -- typology never entered any routing or accessibility computation in any application.
E-bike Readiness & Opportunity,Frozen MCDA over the V2 feature baseline + frozen network intelligence,Composite of all above snapshots,500m grid cell,"Dimension-first value-function aggregation (Readiness) and geometric demand^alpha*gap^(1-alpha) formula (Opportunity); 6-variant sensitivity, consensus classes.","MCDA value functions are analyst-defined (transparently documented), not empirically fit; robustness is to weighting choices only, not to underlying data quality.","Suitability/latent-opportunity indicator, not a deployment guarantee or observed/surveyed demand."
