feature_name,dimension,mcda_disposition,direction,rationale,represented_by_if_excluded
hospital_count,Demand/Activity Potential,EXCLUDE_REDUNDANT,N/A,"Individual POI sub-category; its contribution to overall activity intensity is already captured by poi_density_km2, and food/retail/leisure-specific demand nuance would require a dedicated sub-index this phase does not construct. Kept out of the compact criterion set to avoid over-weighting POI-derived signal relative to other dimensions.",poi_density_km2 (general); retail_count/leisure_count (specific facets retained)
university_count,Demand/Activity Potential,EXCLUDE_REDUNDANT,N/A,"Individual POI sub-category; its contribution to overall activity intensity is already captured by poi_density_km2, and food/retail/leisure-specific demand nuance would require a dedicated sub-index this phase does not construct. Kept out of the compact criterion set to avoid over-weighting POI-derived signal relative to other dimensions.",poi_density_km2 (general); retail_count/leisure_count (specific facets retained)
school_count,Demand/Activity Potential,EXCLUDE_REDUNDANT,N/A,"Individual POI sub-category; its contribution to overall activity intensity is already captured by poi_density_km2, and food/retail/leisure-specific demand nuance would require a dedicated sub-index this phase does not construct. Kept out of the compact criterion set to avoid over-weighting POI-derived signal relative to other dimensions.",poi_density_km2 (general); retail_count/leisure_count (specific facets retained)
healthcare_count,Demand/Activity Potential,EXCLUDE_REDUNDANT,N/A,"Individual POI sub-category; its contribution to overall activity intensity is already captured by poi_density_km2, and food/retail/leisure-specific demand nuance would require a dedicated sub-index this phase does not construct. Kept out of the compact criterion set to avoid over-weighting POI-derived signal relative to other dimensions.",poi_density_km2 (general); retail_count/leisure_count (specific facets retained)
cafe_count,Demand/Activity Potential,EXCLUDE_REDUNDANT,N/A,"Individual POI sub-category; its contribution to overall activity intensity is already captured by poi_density_km2, and food/retail/leisure-specific demand nuance would require a dedicated sub-index this phase does not construct. Kept out of the compact criterion set to avoid over-weighting POI-derived signal relative to other dimensions.",poi_density_km2 (general); retail_count/leisure_count (specific facets retained)
restaurant_count,Demand/Activity Potential,EXCLUDE_REDUNDANT,N/A,"Individual POI sub-category; its contribution to overall activity intensity is already captured by poi_density_km2, and food/retail/leisure-specific demand nuance would require a dedicated sub-index this phase does not construct. Kept out of the compact criterion set to avoid over-weighting POI-derived signal relative to other dimensions.",poi_density_km2 (general); retail_count/leisure_count (specific facets retained)
bar_pub_count,Demand/Activity Potential,EXCLUDE_REDUNDANT,N/A,"Individual POI sub-category; its contribution to overall activity intensity is already captured by poi_density_km2, and food/retail/leisure-specific demand nuance would require a dedicated sub-index this phase does not construct. Kept out of the compact criterion set to avoid over-weighting POI-derived signal relative to other dimensions.",poi_density_km2 (general); retail_count/leisure_count (specific facets retained)
supermarket_count,Demand/Activity Potential,EXCLUDE_REDUNDANT,N/A,"Individual POI sub-category; its contribution to overall activity intensity is already captured by poi_density_km2, and food/retail/leisure-specific demand nuance would require a dedicated sub-index this phase does not construct. Kept out of the compact criterion set to avoid over-weighting POI-derived signal relative to other dimensions.",poi_density_km2 (general); retail_count/leisure_count (specific facets retained)
office_count,Demand/Activity Potential,EXCLUDE_REDUNDANT,N/A,"Individual POI sub-category; its contribution to overall activity intensity is already captured by poi_density_km2, and food/retail/leisure-specific demand nuance would require a dedicated sub-index this phase does not construct. Kept out of the compact criterion set to avoid over-weighting POI-derived signal relative to other dimensions.",poi_density_km2 (general); retail_count/leisure_count (specific facets retained)
tourism_count,Demand/Activity Potential,EXCLUDE_REDUNDANT,N/A,"Individual POI sub-category; its contribution to overall activity intensity is already captured by poi_density_km2, and food/retail/leisure-specific demand nuance would require a dedicated sub-index this phase does not construct. Kept out of the compact criterion set to avoid over-weighting POI-derived signal relative to other dimensions.",poi_density_km2 (general); retail_count/leisure_count (specific facets retained)
total_poi_count,Demand/Activity Potential,EXCLUDE_REDUNDANT,N/A,Sum of the 12 POI categories; redundant with the density (per-area-normalized) form.,poi_density_km2
poi_category_count,Demand/Activity Potential,EXCLUDE_REDUNDANT,N/A,"Category-diversity count is highly correlated with poi_entropy, which captures the same concept (mixed-use diversity) more informatively (weighted by category share, not just presence/absence).",poi_entropy
population_worldpop_raw,Demand/Activity Potential,EXCLUDE_REDUNDANT,N/A,Superseded by the district-calibrated estimate.,population_density_calibrated_km2
population_calibrated,Demand/Activity Potential,EXCLUDE_REDUNDANT,N/A,"Raw count is area-dependent; density is the comparable, scale-free form.",population_density_calibrated_km2
population_density_worldpop_raw_km2,Demand/Activity Potential,EXCLUDE_REDUNDANT,N/A,Superseded by the district-calibrated estimate.,population_density_calibrated_km2
building_coverage_ratio,Urban Form,EXCLUDE_REDUNDANT,N/A,Superseded by the two-part representation (has_buildings + building_coverage_ratio_conditional) adopted in Phase 5C to fix its extreme-skew clustering-dominance problem; the same fix is carried into the MCDA criteria set for consistency.,has_buildings / building_coverage_ratio_conditional
building_count,Urban Form,EXCLUDE_REDUNDANT,N/A,"Correlated with coverage ratio; ratio is the scale-free, more interpretable form.",has_buildings / building_coverage_ratio_conditional
