scenario,dimension,dimension_weight,note
balanced_equal_dimensions,Demand/Activity Potential,0.2,"Dimension weights only -- NOT final. Within-dimension distribution is explicitly EQUAL across retained criteria in that dimension by default (documented, not computed here), so a dimension with more retained criteria does not automatically receive more total influence than one with fewer; a criterion-level weight table is scoring-phase work, contingent on resolving the logged unresolved value-function choices."
balanced_equal_dimensions,Urban Form,0.2,"Dimension weights only -- NOT final. Within-dimension distribution is explicitly EQUAL across retained criteria in that dimension by default (documented, not computed here), so a dimension with more retained criteria does not automatically receive more total influence than one with fewer; a criterion-level weight table is scoring-phase work, contingent on resolving the logged unresolved value-function choices."
balanced_equal_dimensions,Mobility/Transit Context,0.2,"Dimension weights only -- NOT final. Within-dimension distribution is explicitly EQUAL across retained criteria in that dimension by default (documented, not computed here), so a dimension with more retained criteria does not automatically receive more total influence than one with fewer; a criterion-level weight table is scoring-phase work, contingent on resolving the logged unresolved value-function choices."
balanced_equal_dimensions,Cycling Readiness,0.2,"Dimension weights only -- NOT final. Within-dimension distribution is explicitly EQUAL across retained criteria in that dimension by default (documented, not computed here), so a dimension with more retained criteria does not automatically receive more total influence than one with fewer; a criterion-level weight table is scoring-phase work, contingent on resolving the logged unresolved value-function choices."
balanced_equal_dimensions,Terrain Feasibility,0.2,"Dimension weights only -- NOT final. Within-dimension distribution is explicitly EQUAL across retained criteria in that dimension by default (documented, not computed here), so a dimension with more retained criteria does not automatically receive more total influence than one with fewer; a criterion-level weight table is scoring-phase work, contingent on resolving the logged unresolved value-function choices."
demand_oriented,Demand/Activity Potential,0.4,"Dimension weights only -- NOT final. Within-dimension distribution is explicitly EQUAL across retained criteria in that dimension by default (documented, not computed here), so a dimension with more retained criteria does not automatically receive more total influence than one with fewer; a criterion-level weight table is scoring-phase work, contingent on resolving the logged unresolved value-function choices."
demand_oriented,Urban Form,0.15,"Dimension weights only -- NOT final. Within-dimension distribution is explicitly EQUAL across retained criteria in that dimension by default (documented, not computed here), so a dimension with more retained criteria does not automatically receive more total influence than one with fewer; a criterion-level weight table is scoring-phase work, contingent on resolving the logged unresolved value-function choices."
demand_oriented,Mobility/Transit Context,0.15,"Dimension weights only -- NOT final. Within-dimension distribution is explicitly EQUAL across retained criteria in that dimension by default (documented, not computed here), so a dimension with more retained criteria does not automatically receive more total influence than one with fewer; a criterion-level weight table is scoring-phase work, contingent on resolving the logged unresolved value-function choices."
demand_oriented,Cycling Readiness,0.15,"Dimension weights only -- NOT final. Within-dimension distribution is explicitly EQUAL across retained criteria in that dimension by default (documented, not computed here), so a dimension with more retained criteria does not automatically receive more total influence than one with fewer; a criterion-level weight table is scoring-phase work, contingent on resolving the logged unresolved value-function choices."
demand_oriented,Terrain Feasibility,0.15,"Dimension weights only -- NOT final. Within-dimension distribution is explicitly EQUAL across retained criteria in that dimension by default (documented, not computed here), so a dimension with more retained criteria does not automatically receive more total influence than one with fewer; a criterion-level weight table is scoring-phase work, contingent on resolving the logged unresolved value-function choices."
infrastructure_readiness_oriented,Demand/Activity Potential,0.15,"Dimension weights only -- NOT final. Within-dimension distribution is explicitly EQUAL across retained criteria in that dimension by default (documented, not computed here), so a dimension with more retained criteria does not automatically receive more total influence than one with fewer; a criterion-level weight table is scoring-phase work, contingent on resolving the logged unresolved value-function choices."
infrastructure_readiness_oriented,Urban Form,0.15,"Dimension weights only -- NOT final. Within-dimension distribution is explicitly EQUAL across retained criteria in that dimension by default (documented, not computed here), so a dimension with more retained criteria does not automatically receive more total influence than one with fewer; a criterion-level weight table is scoring-phase work, contingent on resolving the logged unresolved value-function choices."
infrastructure_readiness_oriented,Mobility/Transit Context,0.15,"Dimension weights only -- NOT final. Within-dimension distribution is explicitly EQUAL across retained criteria in that dimension by default (documented, not computed here), so a dimension with more retained criteria does not automatically receive more total influence than one with fewer; a criterion-level weight table is scoring-phase work, contingent on resolving the logged unresolved value-function choices."
infrastructure_readiness_oriented,Cycling Readiness,0.4,"Dimension weights only -- NOT final. Within-dimension distribution is explicitly EQUAL across retained criteria in that dimension by default (documented, not computed here), so a dimension with more retained criteria does not automatically receive more total influence than one with fewer; a criterion-level weight table is scoring-phase work, contingent on resolving the logged unresolved value-function choices."
infrastructure_readiness_oriented,Terrain Feasibility,0.15,"Dimension weights only -- NOT final. Within-dimension distribution is explicitly EQUAL across retained criteria in that dimension by default (documented, not computed here), so a dimension with more retained criteria does not automatically receive more total influence than one with fewer; a criterion-level weight table is scoring-phase work, contingent on resolving the logged unresolved value-function choices."
