kpi_id,display_name,short_name,description,unit,source_application,source_file,source_column,calculation_definition,population_weighted_or_cell_based,quality_requirements,known_limitations,recommended_display_format,recommended_visualization,headline_eligible,interpretation_warning
URB_01,Calibrated 2020 Population,Population,"Calibrated 2020 resident population per 500m grid cell (WorldPop-based, Phase 3C calibration to official 2020 totals).",people,Core V2 feature baseline,data/processed/citywide/features/urban_mobility_features_citywide_v2.parquet,population_calibrated,"Direct frozen value, no aggregation.",population,"None -- population layer itself, not an accessibility measurement.",2020 snapshot; network/destination data snapshot is 2026 -- temporal mismatch.,integer with thousands separator,choropleth / KPI card,False,Not a 2026 population estimate.
URB_02,Population Density,Pop. Density,"Calibrated population per square kilometer, derived from the fixed 500m x 500m (0.25km2) grid cell area.",people/km2,Core V2 feature baseline,data/processed/citywide/features/urban_mobility_features_citywide_v2.parquet,population_calibrated,population_calibrated / 0.25,cell,None.,Same 2020-vs-2026 caveat as URB_01.,integer,choropleth,False,"Descriptive density, not a planning threshold."
URB_03,Urban Mobility Typology,Typology,V2 eight-family k=5 urban-regime cluster assignment.,categorical (0-4),CITYWIDE_V2_EIGHT_FAMILY_TYPOLOGY,analysis/clustering_v2_eight_family/cluster_assignments_v2ef.parquet,cluster,Frozen KMeans k=5 cluster label; see v2_typology_manifest.json for full profile.,cell,None.,"Descriptive typology, not causal; cluster numbering has no inherent order.",categorical legend,choropleth (categorical palette),False,Typology never enters routing or accessibility computation.
URB_04,Intersection Density,Intersections/km2,Road-network intersection count per km2 -- a street-connectivity indicator.,intersections/km2,Core V2 feature baseline,data/processed/citywide/features/urban_mobility_features_citywide_v2.parquet,intersection_density_km2,Frozen value from Phase 7A road-network feature computation.,cell,None.,OSM digitization completeness varies by district.,1 decimal,choropleth,False,"Connectivity proxy, not a walkability score."
URB_05,Cycling Infrastructure Density,Cycle Infra Density,Length of İBB-mapped cycling infrastructure per km2.,km/km2,Core V2 feature baseline,data/processed/citywide/features/urban_mobility_features_citywide_v2.parquet,cycle_infrastructure_density_km_per_km2_ibb_only,Frozen value; İBB dataset only (not OSM-inferred).,cell,None.,İBB-only source -- may undercount informally-used cycling routes.,2 decimals,choropleth,False,"Infrastructure presence, not usage."
WALK_01,"Required Categories Accessible (Walking, 15min)",Walk Req. Categories,Count (0-3) of Food/Healthcare/Education reachable within 15 minutes on the walking network.,count (0-3),15-MINUTE ISTANBUL v1,analysis/applications/15min_city/grid_proximity_summary.parquet,required_categories_accessible_15min,Frozen exact-network cutoff-Dijkstra result.,both,corrected_accessibility_quality_flags.parquet quality flag RELIABLE recommended for interpretation.,Search horizon capped at 15min; Adalar/isolated components flagged separately.,integer badge,4-category choropleth,True,"Modeled network accessibility, not observed travel behavior."
WALK_02,Complete 15-Minute Walking Access,Complete Walk Access,Whether a cell reaches all 3 required categories within 15 minutes walking.,boolean,15-MINUTE ISTANBUL v1,analysis/applications/15min_city/grid_proximity_summary.parquet,COMPLETE_15MIN_ACCESS,required_categories_accessible_15min == 3.,both,See WALK_01.,See WALK_01.,boolean/binary map,binary choropleth,True,Do not call this 'living in a 15-minute city' -- see claims registry.
WALK_03,Nearest Food/Groceries (Walking),Food Time (Walk),"Nearest-network travel time to a Food/Groceries destination, walking.",minutes (NaN if unreachable within 15min),15-MINUTE ISTANBUL v1,analysis/applications/15min_city/grid_nearest_service_times.parquet,A_food_groceries_nearest_time_min,Exact cutoff-Dijkstra nearest-node time.,cell,See WALK_01.,"NaN means unreachable within the 15min search horizon, not 'very far'.","1 decimal, minutes","choropleth (sequential, capped at 15)",False,Never substitute a large number for NaN.
WALK_04,Nearest Healthcare (Walking),Healthcare Time (Walk),"Nearest-network travel time to a Healthcare destination, walking.",minutes (NaN if unreachable within 15min),15-MINUTE ISTANBUL v1,analysis/applications/15min_city/grid_nearest_service_times.parquet,B_healthcare_nearest_time_min,Exact cutoff-Dijkstra nearest-node time.,cell,See WALK_01.,See WALK_03.,"1 decimal, minutes","choropleth (sequential, capped at 15)",False,Never substitute a large number for NaN.
WALK_05,Nearest Education (Walking),Education Time (Walk),"Nearest-network travel time to an Education destination, walking.",minutes (NaN if unreachable within 15min),15-MINUTE ISTANBUL v1,analysis/applications/15min_city/grid_nearest_service_times.parquet,C_education_nearest_time_min,Exact cutoff-Dijkstra nearest-node time.,cell,See WALK_01.,See WALK_03.,"1 decimal, minutes","choropleth (sequential, capped at 15)",False,Never substitute a large number for NaN.
CYC_01,Complete 15-Minute Cycling Access,Complete Cycle Access,Whether a cell reaches all 3 required categories within 15 minutes cycling.,boolean,CYCLING_ACCESSIBILITY_AND_ACTIVE_MOBILITY_GAIN_V1,analysis/applications/cycling_accessibility/walking_cycling_complete_access_comparison.parquet,CYCLING_COMPLETE_15MIN_ACCESS,cycling_required_categories_accessible_15min == 3.,both,cycling_accessibility_quality_flags.parquet RELIABLE recommended.,Baseline 15km/h constant speed; oneway:bicycle not modeled; Adalar cross-water artifact.,boolean/binary map,binary choropleth,True,"Modeled POTENTIAL accessibility, not observed cycling behavior."
CYC_02,Cycling-Only Everyday-Needs Gain,Cycle-Only Gain,Cell lacks complete walking access but has complete cycling access.,boolean,CYCLING_ACCESSIBILITY_AND_ACTIVE_MOBILITY_GAIN_V1,analysis/applications/cycling_accessibility/walking_cycling_complete_access_comparison.parquet,access_class,access_class == 'CYCLE_ONLY_GAIN'.,both,See CYC_01.,See CYC_01.,categorical badge,categorical choropleth (Map 05),True,"Descriptive network measurement, not a behavioral prediction."
