feature,skew_raw,skew_after_log1p,zero_prevalence_pct,recommendation,rationale
bar_pub_count,50.218,19.737,99.37,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
university_count,42.623,18.427,99.47,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
ferry_terminal_count,39.583,30.75,99.86,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
tourism_count,37.265,8.396,95.49,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
bus_departures_peak_hour,35.873,18.509,99.5,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
mean_building_footprint_m2_valid_only,27.906,0.411,0.0,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
micromobility_parking_count,25.896,17.818,99.53,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
rail_station_count,22.989,22.989,99.81,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
tram_station_count,22.936,20.959,99.75,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
retail_count,22.162,4.667,90.67,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
cafe_count,21.659,6.356,94.93,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
restaurant_count,20.093,5.437,93.22,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
office_count,20.022,5.401,93.56,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
metrobus_station_count,19.186,12.82,99.18,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
leisure_count,18.537,2.737,82.51,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
metro_station_count,15.095,14.265,99.49,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
bicycle_parking_count,14.797,12.945,99.31,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
total_poi_count,14.019,2.339,77.23,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
hospital_count,13.545,9.442,98.56,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
unique_rail_lines,13.495,11.36,99.1,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
poi_density_km2,13.399,1.881,77.23,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
protected_cycleway_density_km_per_km2_ibb_only,12.821,7.165,96.85,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
cycle_infrastructure_density_km_per_km2_ibb_only,12.042,6.196,95.99,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
bus_departures_per_day,10.843,3.625,91.76,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
protected_cycleway_length_km_ibb_only,10.068,7.8,96.85,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
healthcare_count,9.219,4.255,92.24,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
unique_bus_routes,9.159,4.002,91.84,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
routes_serving_grid,9.067,3.909,91.15,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
supermarket_count,8.436,4.639,93.41,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
cycle_infrastructure_length_km_ibb_only,8.383,6.745,95.99,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
fixed_guideway_stations_within_1000m,7.715,4.524,93.62,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
school_count,5.969,4.008,92.51,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
total_transit_stop_count,5.206,3.575,91.15,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
bus_stop_count,4.927,3.669,91.84,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
building_count,4.857,1.556,66.11,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
population_worldpop_raw,4.232,0.841,56.68,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
population_density_worldpop_raw_km2,4.168,0.698,56.68,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
bus_stops_within_500m,4.041,2.717,86.76,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
transit_stops_within_500m,4.015,2.607,85.05,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
population_calibrated,3.664,0.835,56.68,log1p,"Right-skewed non-negative count/density variable; log1p compresses the long tail while preserving zero as zero, keeping the interpretation 'no infrastructure/activity here' intact."
