feature_name,dimension,variant,value_function
poi_density_km2,Demand,sat,"percentile_rank ** 0.5 (concave, diminishing returns)"
poi_entropy,Demand,lin,percentile_rank (linear)
retail_count,Demand,sat,percentile_rank ** 0.5
leisure_count,Demand,sat,percentile_rank ** 0.5
population_density_calibrated_km2,Demand,saturating,percentile_rank ** 0.5 (Variant 1)
population_density_calibrated_km2,Demand,target_range,"Rising 0->1 over [p0,p50]; flat at 1 over [p50,p85]; declining to floor 0.7 over [p85,p100] (Variant 2 -- breakpoints p50/p85/floor=0.7 are explicit SCENARIO ASSUMPTIONS, not empirical thresholds)"
has_buildings,Urban Form,binary,"0/1 threshold indicator, used directly"
building_coverage_ratio_conditional,Urban Form,saturating,Among built cells: percentile_rank(raw conditional coverage) ** 0.5; 0 for non-built cells (Variant 1)
building_coverage_ratio_conditional,Urban Form,target_range,"Among built cells: same [p50,p85,floor=0.7] target-range shape as population (Variant 2); 0 for non-built cells"
distance_to_nearest_metro_m,Transit,T1_integration,"(1 - percentile_rank(distance)) ** 0.5 -- closer=better, diminishing returns"
distance_to_nearest_metro_m,Transit,T2_substitution,"inverted-U peaking at the 70th-closeness percentile (rank=0.3), declining toward a floor of 0.6 for extreme closeness and 0.0 for extreme distance -- PEAK LOCATION AND FLOOR ARE SCENARIO ASSUMPTIONS, not an empirically validated crossover"
distance_to_nearest_tram_m,Transit,T1_integration,"(1 - percentile_rank(distance)) ** 0.5 -- closer=better, diminishing returns"
distance_to_nearest_tram_m,Transit,T2_substitution,"inverted-U peaking at the 70th-closeness percentile (rank=0.3), declining toward a floor of 0.6 for extreme closeness and 0.0 for extreme distance -- PEAK LOCATION AND FLOOR ARE SCENARIO ASSUMPTIONS, not an empirically validated crossover"
distance_to_nearest_rail_m,Transit,T1_integration,"(1 - percentile_rank(distance)) ** 0.5 -- closer=better, diminishing returns"
distance_to_nearest_rail_m,Transit,T2_substitution,"inverted-U peaking at the 70th-closeness percentile (rank=0.3), declining toward a floor of 0.6 for extreme closeness and 0.0 for extreme distance -- PEAK LOCATION AND FLOOR ARE SCENARIO ASSUMPTIONS, not an empirically validated crossover"
distance_to_nearest_ferry_m,Transit,T1_integration,"(1 - percentile_rank(distance)) ** 0.5 -- closer=better, diminishing returns"
distance_to_nearest_ferry_m,Transit,T2_substitution,"inverted-U peaking at the 70th-closeness percentile (rank=0.3), declining toward a floor of 0.6 for extreme closeness and 0.0 for extreme distance -- PEAK LOCATION AND FLOOR ARE SCENARIO ASSUMPTIONS, not an empirically validated crossover"
distance_to_nearest_metrobus_m,Transit,T1_integration,"(1 - percentile_rank(distance)) ** 0.5 -- closer=better, diminishing returns"
distance_to_nearest_metrobus_m,Transit,T2_substitution,"inverted-U peaking at the 70th-closeness percentile (rank=0.3), declining toward a floor of 0.6 for extreme closeness and 0.0 for extreme distance -- PEAK LOCATION AND FLOOR ARE SCENARIO ASSUMPTIONS, not an empirically validated crossover"
distance_to_nearest_transit_m,Transit,T1_integration,"(1 - percentile_rank(distance)) ** 0.5 -- closer=better, diminishing returns"
