feature_a,feature_b,spearman_rho,note
distance_to_nearest_tram_m,distance_to_nearest_micromobility_parking_m,0.9712,"Correlation involves a feature in NEVER_REDUNDANT (conceptually irreplaceable for an e-bike-focused study); both features retained regardless of correlation strength -- this reflects shared urban-density confounding, not true redundancy."
distance_to_nearest_rail_m,distance_to_nearest_metrobus_m,0.968,"Correlation involves a feature in NEVER_REDUNDANT (conceptually irreplaceable for an e-bike-focused study); both features retained regardless of correlation strength -- this reflects shared urban-density confounding, not true redundancy."
distance_to_nearest_metro_m,distance_to_nearest_tram_m,0.9633,"Correlation involves a feature in NEVER_REDUNDANT (conceptually irreplaceable for an e-bike-focused study); both features retained regardless of correlation strength -- this reflects shared urban-density confounding, not true redundancy."
distance_to_nearest_metro_m,distance_to_nearest_micromobility_parking_m,0.9616,"Correlation involves a feature in NEVER_REDUNDANT (conceptually irreplaceable for an e-bike-focused study); both features retained regardless of correlation strength -- this reflects shared urban-density confounding, not true redundancy."
distance_to_nearest_metro_m,distance_to_nearest_metrobus_m,0.9611,"Correlation involves a feature in NEVER_REDUNDANT (conceptually irreplaceable for an e-bike-focused study); both features retained regardless of correlation strength -- this reflects shared urban-density confounding, not true redundancy."
distance_to_nearest_metrobus_m,distance_to_nearest_micromobility_parking_m,0.9549,"Correlation involves a feature in NEVER_REDUNDANT (conceptually irreplaceable for an e-bike-focused study); both features retained regardless of correlation strength -- this reflects shared urban-density confounding, not true redundancy."
distance_to_nearest_rail_m,distance_to_nearest_micromobility_parking_m,0.9543,"Correlation involves a feature in NEVER_REDUNDANT (conceptually irreplaceable for an e-bike-focused study); both features retained regardless of correlation strength -- this reflects shared urban-density confounding, not true redundancy."
distance_to_nearest_metro_m,distance_to_nearest_rail_m,0.9477,"Correlation involves a feature in NEVER_REDUNDANT (conceptually irreplaceable for an e-bike-focused study); both features retained regardless of correlation strength -- this reflects shared urban-density confounding, not true redundancy."
distance_to_nearest_ferry_m,distance_to_nearest_micromobility_parking_m,0.9446,"Correlation involves a feature in NEVER_REDUNDANT (conceptually irreplaceable for an e-bike-focused study); both features retained regardless of correlation strength -- this reflects shared urban-density confounding, not true redundancy."
distance_to_nearest_metro_m,distance_to_nearest_bicycle_parking_m,0.9444,"Correlation involves a feature in NEVER_REDUNDANT (conceptually irreplaceable for an e-bike-focused study); both features retained regardless of correlation strength -- this reflects shared urban-density confounding, not true redundancy."
distance_to_nearest_metrobus_m,distance_to_nearest_bicycle_parking_m,0.9427,"Correlation involves a feature in NEVER_REDUNDANT (conceptually irreplaceable for an e-bike-focused study); both features retained regardless of correlation strength -- this reflects shared urban-density confounding, not true redundancy."
distance_to_nearest_tram_m,distance_to_nearest_rail_m,0.9229,"Correlation involves a feature in NEVER_REDUNDANT (conceptually irreplaceable for an e-bike-focused study); both features retained regardless of correlation strength -- this reflects shared urban-density confounding, not true redundancy."
distance_to_nearest_bicycle_parking_m,distance_to_nearest_micromobility_parking_m,0.9157,"Correlation involves a feature in NEVER_REDUNDANT (conceptually irreplaceable for an e-bike-focused study); both features retained regardless of correlation strength -- this reflects shared urban-density confounding, not true redundancy."
distance_to_nearest_ferry_m,distance_to_nearest_metrobus_m,0.9106,"Correlation involves a feature in NEVER_REDUNDANT (conceptually irreplaceable for an e-bike-focused study); both features retained regardless of correlation strength -- this reflects shared urban-density confounding, not true redundancy."
distance_to_nearest_tram_m,distance_to_nearest_metrobus_m,0.9101,"Correlation involves a feature in NEVER_REDUNDANT (conceptually irreplaceable for an e-bike-focused study); both features retained regardless of correlation strength -- this reflects shared urban-density confounding, not true redundancy."
distance_to_nearest_metro_m,distance_to_nearest_ferry_m,0.9077,"Correlation involves a feature in NEVER_REDUNDANT (conceptually irreplaceable for an e-bike-focused study); both features retained regardless of correlation strength -- this reflects shared urban-density confounding, not true redundancy."
distance_to_nearest_tram_m,distance_to_nearest_ferry_m,0.9044,"Correlation involves a feature in NEVER_REDUNDANT (conceptually irreplaceable for an e-bike-focused study); both features retained regardless of correlation strength -- this reflects shared urban-density confounding, not true redundancy."
distance_to_nearest_rail_m,distance_to_nearest_bicycle_parking_m,0.9043,"Correlation involves a feature in NEVER_REDUNDANT (conceptually irreplaceable for an e-bike-focused study); both features retained regardless of correlation strength -- this reflects shared urban-density confounding, not true redundancy."
