layer_id,display_name,analytical_question,source_field,data_type,legend_type,legend_breaks_or_categories,quality_mask,tooltip_fields,recommended_default_visibility,interpretation_note
MAP_01,Urban Mobility Typology,What kind of urban environments exist across Istanbul?,typology_cluster,categorical (5 classes),categorical,Cluster 0-4 (V2 eight-family k=5 typology; see v2_typology_manifest.json for profile labels),"None required (typology is descriptive, always defined).","grid_id, district, calibrated_population_2020, typology_cluster, population_density_per_km2",True,"Descriptive urban-form regime, not causal; cluster numbers carry no inherent order."
MAP_02,15-Minute Walking Accessibility,What everyday needs can residents potentially reach by walking?,required_categories_walk_15,ordinal (0-3),stepped/ordinal,"0/3, 1/3, 2/3, 3/3 required needs accessible (drill-down: Food/Healthcare/Education individually)","walking_quality in (RELIABLE, RELIABLE_SEPARATE_COMPONENT); flag/mute QUESTIONABLE_ANCHOR, SMALL_COMPONENT_CAUTION, KNOWN_NETWORK_LIMITATION_ADALAR.","calibrated_population_2020, food_walk_min, healthcare_walk_min, education_walk_min, required_categories_walk_15, walking_quality",True,"NOT a continuous score -- deliberately shown as discrete 0/3-3/3 categories, per instruction."
MAP_03,Walking Accessibility Gaps,"Where do mapped walking accessibility gaps exist, and of what type?",everyday_gap_type,categorical (9 classes),categorical,"NO_REQUIRED_GAP, FOOD_GAP, HEALTHCARE_GAP, EDUCATION_GAP, FOOD_HEALTHCARE_GAP, FOOD_EDUCATION_GAP, HEALTHCARE_EDUCATION_GAP, ALL_REQUIRED_GAP, UNKNOWN_OR_QUALITY_LIMITED","UNKNOWN_OR_QUALITY_LIMITED is itself a legend category -- not hidden, shown muted/hatched.","calibrated_population_2020, everyday_gap_type, food_walk_min, healthcare_walk_min, education_walk_min",False,Use 'accessibility gap' language only -- never 'service desert' or similar.
MAP_04,15-Minute Cycling Accessibility,What everyday needs can residents potentially reach by cycling?,required_categories_cycle_15,ordinal (0-3),stepped/ordinal,"0/3, 1/3, 2/3, 3/3 required needs accessible (drill-down per category)","cycling_quality in (RELIABLE, RELIABLE_SEPARATE_COMPONENT).","calibrated_population_2020, food_cycle_min, healthcare_cycle_min, education_cycle_min, required_categories_cycle_15, cycling_quality",False,"Modeled POTENTIAL accessibility at a constant 15km/h baseline speed, not observed cycling."
MAP_05,Walking to Cycling Accessibility Gain,Where does cycling materially expand accessibility?,active_mobility_intervention (everyday subset),categorical (5 classes),categorical,"WALK_ACCESS_ALREADY_COMPLETE, CYCLE_CLOSES_COMPLETE_GAP, CYCLE_PARTIALLY_CLOSES_GAP, CYCLE_DOES_NOT_CLOSE_GAP, QUALITY_UNCERTAIN","QUALITY_UNCERTAIN is a legend category, shown muted/hatched, not hidden.","calibrated_population_2020, required_categories_walk_15, required_categories_cycle_15, cycling_gap_closure, food/healthcare/education walk+cycle min, walking_quality, cycling_quality",True,FLAGSHIP MAP. Central question: 'Where does cycling change accessibility outcomes?' Descriptive network measurement only.
MAP_06,First/Last-Mile General Transit Accessibility,Where can residents reach public transport (any mode) by walking or cycling?,general_transit_walk_min / general_transit_cycle_min,continuous (minutes) + categorical quality overlay,sequential (time) with categorical quality overlay,"0-5, 5-10, 10-15 min bands; separate GOOD/USABLE/SUSPECT/NO_FEED_COVERAGE overlay",transit_data_quality != GOOD_COVERAGE shown DATA INSUFFICIENT / hatched / muted -- never blank or false-zero.,"calibrated_population_2020, general_transit_walk_min, general_transit_cycle_min, transit_data_quality",False,NO_FEED_COVERAGE must NEVER be displayed or read as NO_TRANSIT_ACCESS. Kept separate from fixed-guideway (MAP_07).
MAP_07,Cycling Transit-Access Gain (incl. Fixed-Guideway),"Where can cycling expand access to public transport, especially fixed-guideway/high-capacity lines?",cycle_only_transit_gain,categorical (boolean + quality),categorical,"WALK_AND_CYCLE_ACCESS, WALK_ONLY_ACCESS, CYCLE_ONLY_TRANSIT_GAIN, NEITHER_ACCESS -- separate toggle for General vs Fixed-Guideway",transit_data_quality != GOOD_COVERAGE shown DATA INSUFFICIENT / hatched.,"calibrated_population_2020, general_transit_walk_min, general_transit_cycle_min, fixed_transit_walk_min, fixed_transit_cycle_min, transit_data_quality",False,General transit and Fixed-guideway are SEPARATE views/toggles -- never combined into one score.
MAP_08,Remaining Accessibility Gaps,Where do mapped accessibility gaps remain after accounting for cycling's potential contribution?,cycling_gap_closure (UNCHANGED_BY_CYCLING subset) + everyday_gap_type,categorical (6 classes),categorical,"NO_REMAINING_REQUIRED_GAP, FOOD_REMAINS, HEALTHCARE_REMAINS, EDUCATION_REMAINS, MULTIPLE_REMAIN, QUALITY_UNCERTAIN","QUALITY_UNCERTAIN shown muted/hatched, not hidden.","calibrated_population_2020, everyday_gap_type, cycling_gap_closure, food/healthcare/education cycle_min",True,"Use neutral accessibility terminology ONLY -- never 'bad neighborhoods', 'underserved community', 'mobility poverty', or 'service desert'."
MAP_09,E-bike Readiness,Where is the physical/infrastructural environment suitable for e-bike deployment?,ebike_readiness (+ ebike_readiness_robustness overlay),"continuous [0,1] + categorical robustness",sequential + categorical overlay,Continuous choropleth; robustness overlay ROBUST_HIGH/FREQUENT_HIGH/CONDITIONAL_HIGH/RARE_HIGH/NEVER_HIGH,None additional beyond the frozen MCDA application's own QA.,"ebike_readiness, ebike_readiness_robustness, district, typology_cluster",False,"Suitability indicator from a frozen MCDA, not a deployment guarantee."
MAP_10,E-bike Latent Opportunity,Where is latent (modeled) demand-and-gap potential for e-bike highest?,ebike_opportunity (+ ebike_opportunity_robustness overlay),"continuous [0,1] + categorical robustness",sequential + categorical overlay,Continuous choropleth; robustness overlay as MAP_09,None additional.,"ebike_opportunity, ebike_opportunity_robustness, district, typology_cluster",False,"'Latent' = modeled, not observed or surveyed demand."
MAP_11,Cross-Application Convergence,Do the independently-derived e-bike application and the network-based accessibility-gap synthesis point at the same places?,"active_mobility_intervention x ebike_readiness/opportunity top-quartile (derived categorical, computed at Phase 12 build time from frozen fields, NOT a new score)",categorical (4 classes),categorical,"NEITHER, ACCESSIBILITY_GAIN_ONLY, HIGH_EBIKE_READINESS_ONLY (or OPPORTUNITY), BOTH_SIGNALS",Inherit synthesis_reliable from the accessibility-gain side.,"active_mobility_intervention, ebike_readiness_robustness, ebike_opportunity_robustness, calibrated_population_2020",False,"Use the term CROSS-APPLICATION CONVERGENCE. Explicitly NOT external validation, and NOT a new numeric score -- a 4-way categorical overlay of two already-frozen categorical fields."
MAP_12,Data / Network Confidence,Where should results NOT be over-interpreted due to network or data-quality limitations?,"walking_quality, cycling_quality, transit_data_quality (combined into a derived confidence category at Phase 12 build time)",categorical (4 classes),categorical,"HIGH_CONFIDENCE, NETWORK_LIMITATION, TRANSIT_DATA_LIMITATION, MULTIPLE_LIMITATIONS","This IS the quality mask layer -- mandatory, always available.","walking_quality, cycling_quality, transit_data_quality, synthesis_reliable, district",True,MANDATORY layer. Adalar must remain explicitly identifiable (KNOWN_NETWORK_LIMITATION_ADALAR) at all times.
