feature_name,dimension,v2_disposition,direction,semantic_justification,bss_independence_note
road_density_km_per_km2,Street Network/Connectivity (contextual),CONTEXTUAL_ONLY,AMBIGUOUS,"Aggregates ALL highway classes (motorway down to service road) into one area-normalized figure, conflating motor-road abundance with fine-grained permeability. A cell dominated by one long motorway segment and a cell with a dense walkable grid can score similarly. No defensible single causal direction for e-bike readiness without decomposing by class -- which is exactly what intersection_density_km2 / local_road_length_m / cycle_accessible_road_density_km_per_km2 do instead.",Ranked #7 individually in Phase 5A-V2 diagnostic BSS (3.77%) -- explicitly NOT used as evidence of decision relevance here; classification is driven entirely by the class-conflation problem above.
intersection_density_km2,Street Network/Connectivity,CANDIDATE_READINESS,BENEFIT,"Direct, literature-standard proxy for street-network permeability (fine, well-connected grids have more junctions) -- distinct from and complementary to transit service. Evidence-backed causal mechanism: more route choice and shorter block lengths genuinely ease cycling/e-bike movement.","High BSS (3rd-4th in most candidate-k profiles) is consistent with, but not the basis for, this classification -- the semantic case stands independent of clustering behavior."
major_road_length_m,Street Network/Connectivity (contextual),CONTEXTUAL_ONLY,AMBIGUOUS,Motorway/trunk/primary/secondary length. These classes are largely legally closed to cyclists (NOT_CYCLE_ACCESSIBLE_HIGHWAY_CLASSES already excludes motorway/trunk) and function architecturally as severance barriers as often as connectivity assets. Assigning BENEFIT would wrongly reward barrier presence; assigning COST would wrongly penalize cells merely well-connected to the wider road hierarchy. No single defensible direction -- kept contextual/explanatory pending a dedicated barrier-effect study.,Not used for classification.
local_road_length_m,Street Network/Connectivity,CANDIDATE_READINESS,BENEFIT,"Tertiary/residential/living_street/unclassified/service/road -- the fine-grained, typically low-speed local network. Directly relevant to permeability and last-mile access; semantically the clearest 'more local street network = more cycling-friendly access' case among the raw road-length features.",Not used for classification.
cycle_accessible_road_density_km_per_km2,Street Network/Connectivity,CANDIDATE_READINESS,BENEFIT,"Literally 'how much of the road network a cyclist may legally use, per unit area' -- the single most direct road-based Cycling Readiness proxy among the 11 additions; excludes motorway/trunk/steps by the same frozen definition used throughout this project.",Not used for classification.
green_area_ratio,Environmental/Land-use Context,CONTEXTUAL_ONLY,NON_MONOTONIC_UNRESOLVED,"Relationship to e-bike deployment is not monotonic or unambiguous: could reflect recreational cycling appeal (positive), low built-up demand context if the cell is mostly forest (neutral-to-negative for deployment), or simple urban-quality-of-life context unrelated to mobility. 'More green = better' is explicitly NOT assumed. Distinct from the ALREADY-SCORED leisure_count (POI-based leisure/recreation presence) -- must not be conflated with it. Held contextual pending a specific recreational-cycling-opportunity sub-question the project has not yet posed.",Not used for classification.
residential_share_conditional,Land-use/Green Space Context,EXCLUDE_FROM_MCDA,N/A,"This is a CLUSTERING preprocessing artifact (three-state floor-encoded value engineered specifically for KMeans distance geometry: no-evidence/mapped-zero/mapped-nonzero states separated by arbitrary offset constants). Its scale has no real-world cardinal meaning and cannot support a value function. Additionally, mean landuse_data_coverage_pct is only 9.2% and this feature correlates rho=0.909 with that coverage diagnostic -- a raw score built on it would substantially reward/penalize cells for OSM mapping completeness, not real residential land use.",Not used for classification -- this exclusion holds regardless of BSS.
industrial_share_conditional,Land-use/Green Space Context,EXCLUDE_FROM_MCDA,N/A,"Same preprocessing-artifact and coverage-reliability concerns as residential_share_conditional (rho=0.480 vs the coverage diagnostic -- weaker but still present). Excluded from scoring; the underlying raw industrial_area_ratio may be used for descriptive/contextual narrative only, never a scored criterion, given ~93% of cells show a structural (mapping-driven, not necessarily real) zero.",Not used for classification.
landuse_has_mapped_evidence,Land-use/Green Space Context,EXCLUDE_FROM_MCDA,N/A,"This is a DATA-COVERAGE diagnostic (whether any OSM land-use polygon was mapped at all), not a real-world urban characteristic. Scoring cells based on it would reward or penalize OSM community mapping completeness rather than any genuine deployment-relevant condition -- exactly the failure mode this phase's instructions explicitly warn against.",Not used for classification.
mean_absolute_road_grade_pct,Terrain Feasibility,CANDIDATE_READINESS,COST,"Directly measures physical grade on the ACTUAL navigable road network (vs. raster DEM slope everywhere) -- more causally proximate to real e-bike/cycling feasibility. See road_grade_terrain_redundancy_audit.json: moderate (0.476), non-duplicate correlation with mean_slope_deg justifies SUPPLEMENTING rather than replacing the existing Terrain criteria.",Not used for classification.
pct_road_length_grade_gt_8pct,Terrain Feasibility,CANDIDATE_READINESS,COST,"Share of a cell's road length that is genuinely steep (>8%) -- a road-anchored analogue of pct_area_slope_6_10deg, weakly correlated with it (0.221), so it is not a redundant duplicate; adds an extreme-steepness-share signal specific to the routes actually cyclable.",Not used for classification.
